TOTAL,SNA,MONTH,COUNTY,SSI,ADC,YEAR,PLAN NAME,NYSoH
4933,777,JANUARY,Cortland,461,3695,2014,NYS Catholic Health Plan,
1564,247,JANUARY,Cortland,182,1135,2014,Today's Options,
27,9,JANUARY,Cortland,1,17,2014,SCHC Total Care,
4839,1000,JANUARY,Delaware,215,3624,2014,NYS Catholic Health Plan,
14345,2333,JANUARY,Dutchess,1770,10242,2014,Hudson Health Plan,
269,45,JANUARY,Dutchess,23,201,2014,MVP Health Plan,
6182,1280,JANUARY,Dutchess,706,4196,2014,NYS Catholic Health Plan,
2555,401,JANUARY,Dutchess,296,1858,2014,Wellcare of New York,
23545,4546,JANUARY,Erie,3129,15870,2014,HealthNow,
37937,6587,JANUARY,Erie,5498,25852,2014,Independent Health Association,
31707,5875,JANUARY,Erie,3795,22037,2014,NYS Catholic Health Plan,
34093,6412,JANUARY,Erie,3846,23835,2014,Univera Community Health,
3427,607,JANUARY,Essex,325,2495,2014,NYS Catholic Health Plan,
42,11,JANUARY,Essex,5,26,2014,United Healthcare Plan of NY,
5143,995,JANUARY,Franklin,214,3934,2014,NYS Catholic Health Plan,
1323,209,JANUARY,Fulton,223,891,2014,Capital District Physicians Health Plan,
7005,1183,JANUARY,Fulton,812,5010,2014,NYS Catholic Health Plan,
21,10,JANUARY,Fulton,4,7,2014,United Healthcare Plan of NY,
3258,459,JANUARY,Genesee,432,2367,2014,MVP Health Plan,
2118,371,JANUARY,Genesee,178,1569,2014,NYS Catholic Health Plan,
29,9,JANUARY,Genesee,3,17,2014,United Healthcare Plan of NY,
3009,467,JANUARY,Greene,445,2097,2014,Capital District Physicians Health Plan,
2953,603,JANUARY,Greene,323,2027,2014,NYS Catholic Health Plan,
389,87,JANUARY,Hamilton,7,295,2014,NYS Catholic Health Plan,
1543,291,JANUARY,Herkimer,211,1041,2014,Excellus Health Plan,
6837,1082,JANUARY,Herkimer,613,5142,2014,NYS Catholic Health Plan,
50,9,JANUARY,Herkimer,12,29,2014,United Healthcare Plan of NY,
8965,1308,JANUARY,Jefferson,555,7102,2014,Excellus Health Plan,
3670,700,JANUARY,Jefferson,335,2635,2014,United Healthcare Plan of NY,
2008,230,JANUARY,Lewis,229,1549,2014,Excellus Health Plan,
946,153,JANUARY,Lewis,93,700,2014,NYS Catholic Health Plan,
4265,719,JANUARY,Livingston,469,3077,2014,Excellus Health Plan,
1130,159,JANUARY,Livingston,178,793,2014,MVP Health Plan,
793,215,JANUARY,Livingston,43,535,2014,NYS Catholic Health Plan,
3706,588,JANUARY,Madison,349,2769,2014,Excellus Health Plan,
2765,468,JANUARY,Madison,242,2055,2014,NYS Catholic Health Plan,
769,159,JANUARY,Madison,72,538,2014,United Healthcare Plan of NY,
73660,11392,JANUARY,Monroe,9684,52584,2014,Excellus Health Plan,
13629,1640,JANUARY,Monroe,2333,9656,2014,MVP Health Plan,
17482,4653,JANUARY,Monroe,2324,10505,2014,NYS Catholic Health Plan,
1055,337,JANUARY,Monroe,63,655,2014,United Healthcare Plan of NY,
3289,427,JANUARY,Montgomery,398,2464,2014,Capital District Physicians Health Plan,
5601,850,JANUARY,Montgomery,571,4180,2014,NYS Catholic Health Plan,
16375,3364,JANUARY,Nassau,1257,11754,2014,Affinity Health Plan,
11529,3078,JANUARY,Nassau,975,7476,2014,Amerigroup,
23120,4931,JANUARY,Nassau,1700,16489,2014,HealthFirst PHSP,
19217,4944,JANUARY,Nassau,2656,11617,2014,HIP of Greater New York,
26105,5347,JANUARY,Nassau,1926,18832,2014,NYS Catholic Health Plan,
27671,6381,JANUARY,Nassau,2263,19027,2014,United Healthcare Plan of NY,
12428,2306,JANUARY,Niagara,1934,8188,2014,Independent Health Association,
14737,2905,JANUARY,Niagara,1438,10394,2014,NYS Catholic Health Plan,
87,37,JANUARY,Niagara,2,48,2014,United Healthcare Plan of NY,
7535,1360,JANUARY,Oneida,927,5248,2014,Excellus Health Plan,
26223,3679,JANUARY,Oneida,3327,19217,2014,NYS Catholic Health Plan,
4226,763,JANUARY,Oneida,563,2900,2014,United Healthcare Plan of NY,
10845,1678,JANUARY,Onondaga,1189,7978,2014,Excellus Health Plan,
18019,2659,JANUARY,Onondaga,1998,13362,2014,NYS Catholic Health Plan,
24117,3364,JANUARY,Onondaga,3926,16827,2014,Today's Options,
515,91,JANUARY,Onondaga,18,406,2014,SCHC Total Care,
8292,1414,JANUARY,Onondaga,1038,5840,2014,United Healthcare Plan of NY,
8609,1231,JANUARY,Ontario,919,6459,2014,Excellus Health Plan,
647,80,JANUARY,Ontario,111,456,2014,MVP Health Plan,
268,61,JANUARY,Ontario,26,181,2014,NYS Catholic Health Plan,
1,0,JANUARY,Ontario,1,0,2014,United Healthcare Plan of NY,
15753,2253,JANUARY,Orange,1438,12062,2014,Affinity Health Plan,
14238,2177,JANUARY,Orange,1504,10557,2014,Hudson Health Plan,
20288,1206,JANUARY,Orange,765,18317,2014,NYS Catholic Health Plan,
532,170,JANUARY,Orange,42,320,2014,United Healthcare Plan of NY,
1819,361,JANUARY,Orange,247,1211,2014,Wellcare of New York,
2170,336,JANUARY,Orleans,209,1625,2014,Excellus Health Plan,
1166,229,JANUARY,Orleans,141,796,2014,HealthNow,
2320,430,JANUARY,Orleans,175,1715,2014,NYS Catholic Health Plan,
3713,646,JANUARY,Oswego,465,2602,2014,Excellus Health Plan,
11200,1697,JANUARY,Oswego,1096,8407,2014,NYS Catholic Health Plan,
5018,813,JANUARY,Oswego,559,3646,2014,United Healthcare Plan of NY,
3178,497,JANUARY,Otsego,348,2333,2014,Excellus Health Plan,
2704,533,JANUARY,Otsego,272,1899,2014,NYS Catholic Health Plan,
132,35,JANUARY,Putnam,38,59,2014,Amerigroup,
3408,564,JANUARY,Putnam,346,2498,2014,NYS Catholic Health Plan,
13644,2190,JANUARY,Rensselaer,1856,9598,2014,Capital District Physicians Health Plan,
4518,818,JANUARY,Rensselaer,511,3189,2014,NYS Catholic Health Plan,
43,16,JANUARY,Rensselaer,2,25,2014,United Healthcare Plan of NY,
796,144,JANUARY,Rensselaer,123,529,2014,Wellcare of New York,
5275,1178,JANUARY,Rockland,543,3554,2014,Affinity Health Plan,
10337,1298,JANUARY,Rockland,584,8455,2014,Hudson Health Plan,
40746,2826,JANUARY,Rockland,1104,36816,2014,NYS Catholic Health Plan,
693,243,JANUARY,Rockland,45,405,2014,United Healthcare Plan of NY,
2234,248,JANUARY,Rockland,111,1875,2014,Wellcare of New York,
9227,1415,JANUARY,St Lawrence,699,7113,2014,Excellus Health Plan,
3691,741,JANUARY,St Lawrence,362,2588,2014,NYS Catholic Health Plan,
474,99,JANUARY,St Lawrence,67,308,2014,United Healthcare Plan of NY,
9619,1762,JANUARY,Saratoga,1153,6704,2014,Capital District Physicians Health Plan,
4925,854,JANUARY,Saratoga,359,3712,2014,NYS Catholic Health Plan,
11590,1566,JANUARY,Schenectady,1889,8135,2014,Capital District Physicians Health Plan,
11314,1967,JANUARY,Schenectady,1278,8069,2014,NYS Catholic Health Plan,
2044,392,JANUARY,Schoharie,184,1468,2014,Capital District Physicians Health Plan,
1377,270,JANUARY,Schoharie,107,1000,2014,NYS Catholic Health Plan,
1251,242,JANUARY,Schuyler,77,932,2014,Excellus Health Plan,
915,237,JANUARY,Schuyler,79,599,2014,NYS Catholic Health Plan,
3684,527,JANUARY,Seneca,436,2721,2014,Excellus Health Plan,
5662,884,JANUARY,Steuben,606,4172,2014,Excellus Health Plan,
5894,940,JANUARY,Steuben,658,4296,2014,NYS Catholic Health Plan,
20510,3423,JANUARY,Suffolk,1428,15659,2014,Affinity Health Plan,
41121,5481,JANUARY,Suffolk,3421,32219,2014,HealthFirst PHSP,
18667,4777,JANUARY,Suffolk,2233,11657,2014,HIP of Greater New York,
27968,5581,JANUARY,Suffolk,2218,20169,2014,NYS Catholic Health Plan,
32788,7518,JANUARY,Suffolk,2667,22603,2014,United Healthcare Plan of NY,
9048,1256,JANUARY,Sullivan,980,6812,2014,Hudson Health Plan,
3321,507,JANUARY,Sullivan,300,2514,2014,NYS Catholic Health Plan,
1659,235,JANUARY,Tioga,146,1278,2014,Capital District Physicians Health Plan,
3304,437,JANUARY,Tioga,241,2626,2014,NYS Catholic Health Plan,
302,76,JANUARY,Tioga,36,190,2014,United Healthcare Plan of NY,
576,127,JANUARY,Tompkins,34,415,2014,Excellus Health Plan,
2114,474,JANUARY,Tompkins,237,1403,2014,NYS Catholic Health Plan,
5015,771,JANUARY,Tompkins,530,3714,2014,Today's Options,
3,2,JANUARY,Tompkins,0,1,2014,SCHC Total Care,
11260,2462,JANUARY,Ulster,1248,7550,2014,Hudson Health Plan,
156,19,JANUARY,Ulster,4,133,2014,MVP Health Plan,
5664,946,JANUARY,Ulster,496,4222,2014,NYS Catholic Health Plan,
244,99,JANUARY,Ulster,19,126,2014,United Healthcare Plan of NY,
2712,447,JANUARY,Ulster,417,1848,2014,Wellcare of New York,
4893,609,JANUARY,Warren,440,3844,2014,NYS Catholic Health Plan,
617,126,JANUARY,Warren,64,427,2014,United Healthcare Plan of NY,
2757,386,JANUARY,Washington,353,2018,2014,Capital District Physicians Health Plan,
4145,486,JANUARY,Washington,429,3230,2014,NYS Catholic Health Plan,
8299,990,JANUARY,Wayne,1034,6275,2014,Excellus Health Plan,
1379,227,JANUARY,Wayne,164,988,2014,NYS Catholic Health Plan,
5,0,JANUARY,Wayne,1,4,2014,United Healthcare Plan of NY,
16176,3663,JANUARY,Westchester,1507,11006,2014,Affinity Health Plan,
8515,1985,JANUARY,Westchester,1139,5391,2014,HIP of Greater New York,
51411,7287,JANUARY,Westchester,3917,40207,2014,Hudson Health Plan,
21645,5665,JANUARY,Westchester,1654,14326,2014,NYS Catholic Health Plan,
1929,700,JANUARY,Westchester,216,1013,2014,United Healthcare Plan of NY,
1981,323,JANUARY,Wyoming,88,1570,2014,HealthNow,
995,181,JANUARY,Wyoming,48,766,2014,NYS Catholic Health Plan,
2519,330,JANUARY,Yates,266,1923,2014,Excellus Health Plan,
27509,5502,JANUARY,Albany,2740,11634,2015,Capital District Physicians Health Plan,7633
34,1,JANUARY,Albany,5,5,2015,MVP Health Plan,23
10337,2453,JANUARY,Albany,743,3978,2015,NYS Catholic Health Plan,3163
658,72,JANUARY,Albany,34,146,2015,United Healthcare Plan of NY,406
2396,449,JANUARY,Albany,238,830,2015,Wellcare of New York,879
2754,822,JANUARY,Allegany,330,1267,2015,HealthNow,335
1620,302,JANUARY,Allegany,85,547,2015,NYS Catholic Health Plan,686
2559,700,JANUARY,Allegany,208,1134,2015,Univera Community Health,517
1076,83,JANUARY,Broome,63,126,2015,Capital District Physicians Health Plan,804
25634,7209,JANUARY,Broome,3052,11862,2015,Excellus Health Plan,3511
6402,1515,JANUARY,Broome,812,2565,2015,NYS Catholic Health Plan,1510
1060,208,JANUARY,Broome,137,313,2015,United Healthcare Plan of NY,402
3995,1037,JANUARY,Cattaraugus,603,1655,2015,HealthNow,700
5276,1259,JANUARY,Cattaraugus,416,1950,2015,NYS Catholic Health Plan,1651
3221,888,JANUARY,Cattaraugus,288,1089,2015,Univera Community Health,956
9168,2261,JANUARY,Cayuga,666,3874,2015,NYS Catholic Health Plan,2367
2494,730,JANUARY,Cayuga,240,1040,2015,United Healthcare Plan of NY,484
3598,1048,JANUARY,Chautauqua,585,1620,2015,HealthNow,345
21261,5350,JANUARY,Chautauqua,2027,10035,2015,NYS Catholic Health Plan,3849
259,35,JANUARY,Chautauqua,7,58,2015,United Healthcare Plan of NY,159
1458,465,JANUARY,Chautauqua,219,359,2015,Univera Community Health,415
12899,2735,JANUARY,Chemung,1489,5823,2015,NYS Catholic Health Plan,2852
2274,452,JANUARY,Chemung,284,902,2015,United Healthcare Plan of NY,636
6837,1762,JANUARY,Chenango,559,2811,2015,NYS Catholic Health Plan,1705
1191,309,JANUARY,Chenango,163,411,2015,United Healthcare Plan of NY,308
10493,2807,JANUARY,Clinton,1149,4401,2015,NYS Catholic Health Plan,2136
1227,322,JANUARY,Clinton,143,370,2015,United Healthcare Plan of NY,392
4976,1025,JANUARY,Columbia,522,1894,2015,Capital District Physicians Health Plan,1535
3899,997,JANUARY,Columbia,267,1646,2015,NYS Catholic Health Plan,989
185,16,JANUARY,Columbia,3,24,2015,United Healthcare Plan of NY,142
5975,1463,JANUARY,Cortland,491,2707,2015,NYS Catholic Health Plan,1314
1626,398,JANUARY,Cortland,171,807,2015,Today's Options,250
6438,1643,JANUARY,Delaware,252,2940,2015,NYS Catholic Health Plan,1603
18509,3893,JANUARY,Dutchess,1729,7897,2015,Hudson Health Plan,4990
11218,2190,JANUARY,Dutchess,796,3499,2015,NYS Catholic Health Plan,4733
3855,608,JANUARY,Dutchess,306,1501,2015,Wellcare of New York,1440
24175,6325,JANUARY,Erie,2744,11163,2015,HealthNow,3943
51530,11242,JANUARY,Erie,5685,23055,2015,Independent Health Association,11548
44148,8932,JANUARY,Erie,3877,19032,2015,NYS Catholic Health Plan,12307
41040,11322,JANUARY,Erie,3998,18959,2015,Univera Community Health,6761
1203,158,JANUARY,Erie,55,375,2015,Wellcare of New York,615
4662,1261,JANUARY,Essex,339,1723,2015,NYS Catholic Health Plan,1339
235,31,JANUARY,Essex,12,36,2015,United Healthcare Plan of NY,156
6971,1866,JANUARY,Franklin,400,2855,2015,NYS Catholic Health Plan,1850
1596,361,JANUARY,Fulton,220,614,2015,Capital District Physicians Health Plan,401
8460,2149,JANUARY,Fulton,842,3339,2015,NYS Catholic Health Plan,2130
62,15,JANUARY,Fulton,4,14,2015,United Healthcare Plan of NY,29
3826,880,JANUARY,Genesee,427,1647,2015,MVP Health Plan,872
3139,656,JANUARY,Genesee,196,1222,2015,NYS Catholic Health Plan,1065
199,27,JANUARY,Genesee,9,40,2015,United Healthcare Plan of NY,123
3978,798,JANUARY,Greene,443,1540,2015,Capital District Physicians Health Plan,1197
3462,912,JANUARY,Greene,323,1325,2015,NYS Catholic Health Plan,902
